1,TRANSPORTES SERVEMAR S.A.,SERVEMAR,PTE. LUIS SAENZ PEÃA                                         366        -                      - 3,C1110AAH   CAPITAL FEDERAL                          Capital Federal,011/43812517,
9,TRANSPORTES SIDECO S.R.L.,SIDECO CORREO,JUAN DE GARAY                                                1447/51    -                      -,C1153ABM   CAPITAL FEDERAL                          Capital Federal,011/43047184,
673,UNIR S.A.,UNIR,CORRALES                                                     1555       -                      -,C1437GLI   CAPITAL FEDERAL                          Capital Federal,011/49185060,
574,UPS DE ARGENTINA S.A.,UPS,LUIS SAENZ PEÃA                                              1351       -                      -,C1135ABC   CAPITAL FEDERAL                          Capital Federal,011/47179400,
766,URBANO EXPRESS ARGENTINA S.A.,URBANO EXPRESS S.A.,FERRE                                                        6660       -                      -,1439       CAPITAL FEDERAL                          Capital Federal,011/43782100,
878,VERNAZZA S.A.,VRZ EXPRESS,AV. BELGRANO                                                 265        -                      - 8,1092       CAPITAL FEDERAL                          Capital Federal,011/43312608,
552,VIA BARILOCHE S.A.,VIA BARILOCHE,RUTA 197 KM. 16200                                           4200       -                      - PB,1613       PABLO NOGUES                             Buenos Aires,011/46638899,
870,VIA CARGO S.A.,VIA CARGO,RUTA 197 KM. 16200                                           4200       -                      - PB,1613       PABLO NOGUES                             Buenos Aires,011/46638899,
748,WEST MAIL S.A.,WEST MAIL,GODOY                                                        250        -                      - 1Âº,5539       MENDOZA                                  Mendoza,0261/4373745,
22,WORLD COURIER S.A.,WORLD COURIER,BAUNESS                                                      845        -                      -,C1427BCI   CABA                                     Capital Federal,011/45211255,011/45218482
